,vol,issue,index,type,title,num_citations
410,76,4,6,Research article,The Control of Semaphorin-1a-Mediated Reverse Signaling by Opposing Pebble and RhoGAPp190 Functions in Drosophila,48
411,76,4,7,Research article,14-3-3 Proteins Regulate a Cell-Intrinsic Switch from Sonic Hedgehog-Mediated Commissural Axon Attraction to Repulsion after Midline Crossing,90
412,76,4,8,Research article,Proprioceptive Coupling within Motor Neurons Drives C. elegans Forward Locomotion,199
413,76,4,9,Research article,NGL-2 Regulates Input-Specific Synapse Development in CA1 Pyramidal Neurons,51
414,76,4,10,Research article,Hippocampal Pyramidal Neurons Comprise Two Distinct Cell Types that Are Countermodulated by Metabotropic Receptors,162
415,76,4,11,Research article,Synaptic and Behavioral Profile of Multiple Glutamatergic Inputs to the Nucleus Accumbens,484
416,76,4,12,Research article,Gating of Fear in Prelimbic Cortex by Hippocampal and Amygdala Inputs,345
417,76,4,13,Research article,NMDA Receptors Control Cue-Outcome Selectivity and Plasticity of Orbitofrontal Firing Patterns during Associative Stimulus-Reward Learning,35
418,76,4,14,Research article,The Primate Ventral Pallidum Encodes Expected Reward Value and Regulates Motor Action,158
419,76,4,15,Research article,Synchronous Oscillatory Neural Ensembles for Rules in the Prefrontal Cortex,340
420,76,4,16,Research article,Rhythmic Fluctuations in Evidence Accumulation during Decision Making in the Human Brain,184
425,76,5,4,Review article,Apolipoprotein E Sets the Stage: Response to Injury Triggers Neuropathology,268
426,76,5,5,Review article,The Neuropathology and Neurobiology of Traumatic Brain Injury,538
428,76,5,7,Research article,A Plaque-Specific Antibody Clears Existing β-amyloid Plaques in Alzheimer's Disease Mice,188
429,76,5,8,Research article,Golgi Outposts Shape Dendrite Morphology by Functioning as Sites of Acentrosomal Microtubule Nucleation in Neurons,242
430,76,5,9,Research article,Dystroglycan Organizes Axon Guidance Cue Localization and Axonal Pathfinding,137
431,76,5,10,Research article,"Molecular Motor KIF5A Is Essential for GABAA Receptor Transport, and KIF5A Deletion Causes Epilepsy",106
432,76,5,11,Research article,Dynamic Sensory Representations in the Olfactory Bulb: Modulation by Wakefulness and Experience,188
433,76,5,12,Research article,Single Neuron Activity and Theta Modulation in Postrhinal Cortex during Visual Object Discrimination,68
434,76,5,13,Research article,The Spatial Pattern of Cochlear Amplification,69
435,76,5,14,Research article,Critical Roles for Anterior Insula and Dorsal Striatum in Punishment-Based Avoidance Learning,161
436,76,5,15,Research article,Electrophysiological Low-Frequency Coherence and Cross-Frequency Coupling Contribute to BOLD Connectivity,140
437,76,5,16,Research article,"Inactivation of the Parietal Reach Region Causes Optic Ataxia, Impairing Reaches but Not Saccades",80
438,76,5,17,Research article,Therapeutic Deep Brain Stimulation in Parkinsonian Rats Directly Influences Motor Cortex,245
443,76,6,4,Review article,The Role of Medial Prefrontal Cortex in Memory and Decision Making,955
445,76,6,6,Research article,NMDA Receptor Regulation Prevents Regression of Visual Cortical Function in the Absence of Mecp2,141
446,76,6,7,Research article,ADF/Cofilin-Mediated Actin Retrograde Flow Directs Neurite Formation in the Developing Brain,157
447,76,6,8,Research article,Tangentially Migrating Neurons Assemble a Primary Cilium that Promotes Their Reorientation to the Cortical Plate,95
448,76,6,9,Research article,Genetic Dissection of TAM Receptor-Ligand Interaction in Retinal Pigment Epithelial Cell Phagocytosis,103
449,76,6,10,Research article,Activity-Dependent Transcriptional Regulation of M-Type (Kv7) K+ Channels by AKAP79/150-Mediated NFAT Actions,72
450,76,6,11,Research article,Layer-Specific Targeting of Direction-Selective Neurons in the Zebrafish Optic Tectum,106
451,76,6,12,Research article,Cortical Feedback Control of Olfactory Bulb Circuits,192
452,76,6,13,Research article,Functional Properties of Cortical Feedback Projections to the Olfactory Bulb,162
453,76,6,14,Research article,Hilar Mossy Cell Degeneration Causes Transient Dentate Granule Cell Hyperexcitability and Impaired Pattern Separation,132
454,76,6,15,Research article,The Postsaccadic Unreliability of Gain Fields Renders It Unlikely that the Motor System Can Use Them to Calculate Target Position in Space,45
455,76,6,16,Research article,A Continuous Semantic Space Describes the Representation of Thousands of Object and Action Categories across the Human Brain,693
456,76,6,17,Research article,Fractionating Human Intelligence,281
461,77,1,3,Review article,Microglia: New Roles for the Synaptic Stripper,841
462,77,1,4,Review article,Shaping Our Minds: Stem and Progenitor Cell Diversity in the Mammalian Neocortex,208
464,77,1,6,Research article,Nuclear Calcium Signaling in Spinal Neurons Drives a Genomic Program Required for Persistent Inflammatory Pain,92
465,77,1,7,Research article,Notch Inhibition Induces Cochlear Hair Cell Regeneration and Recovery of Hearing after Acoustic Trauma,332
466,77,1,8,Research article,Directed Migration of Cortical Interneurons Depends on the Cell-Autonomous Action of Sip1,95
467,77,1,9,Research article,"Dlx1&2-Dependent Expression of Zfhx1b (Sip1, Zeb2) Regulates the Fate Switch between Cortical and Striatal Interneurons",126
468,77,1,10,Research article,Mossy Fiber-CA3 Synapses Mediate Homeostatic Plasticity in Mature Hippocampal Neurons,65
469,77,1,11,Research article,Distinct Roles of TRP Channels in Auditory Transduction and Amplification in Drosophila,120
470,77,1,12,Research article,Fast Silencing Reveals a Lost Role for Reciprocal Inhibition in Locomotion,50
471,77,1,13,Research article,Feedback Inhibition Enables Theta-Nested Gamma Oscillations and Grid Firing Fields,271
472,77,1,14,Research article,Neocortical Somatostatin-Expressing GABAergic Interneurons Disinhibit the Thalamorecipient Layer 4,290
473,77,1,15,Research article,Preference Distributions of Primary Motor Cortex Neurons Reflect Control Solutions Optimized for Limb Biomechanics,84
474,77,1,16,Research article,Biased Associative Representations in Parietal Cortex,35
475,77,1,17,Research article,Functional Microcircuit Recruited during Retrieval of Object Association Memory in Monkey Perirhinal Cortex,48
481,77,2,4,Review article,Vulnerable Neural Systems and the Borderland of Brain Aging and Neurodegeneration,261
485,77,2,8,Research article,Using Whole-Exome Sequencing to Identify Inherited Causes of Autism,393
486,77,2,9,Research article,Voltage-Sensing Domain of Voltage-Gated Proton Channel Hv1 Shares Mechanism of Block with Pore Domains,64
487,77,2,10,Research article,Subunit Interactions during Cooperative Opening of Voltage-Gated Proton Channels,49
488,77,2,11,Research article,Multiple Interactions Control Synaptic Layer Specificity in the Drosophila Visual System,51
489,77,2,12,Research article,Neurexin Regulates Visual Function via Mediating Retinoid Transport to Promote Rhodopsin Maturation,28
490,77,2,13,Research article,Synaptic Vesicles Position Complexin to Block Spontaneous Fusion,72
491,77,2,14,Research article,Social Deprivation Enhances VTA Synaptic Plasticity and Drug-Induced Contextual Learning,106
492,77,2,15,Research article,New Modules Are Added to Vibrissal Premotor Circuitry with the Emergence of Exploratory Whisking,97
493,77,2,16,Research article,Inducing Gamma Oscillations and Precise Spike Synchrony by Operant Conditioning via Brain-Machine Interface,104
498,77,3,3,Review article,Rita Levi-Montalcini: In Memoriam,2
499,77,3,4,Review article,GABAergic Interneurons Shape the Functional Maturation of the Cortex,324
500,77,3,5,Research article,Probing and Regulating Dysfunctional Circuits Using Deep Brain Stimulation,382
501,77,3,6,Research article,RAB7L1 Interacts with LRRK2 to Modify Intraneuronal Protein Sorting and Parkinson’s Disease Risk,455
502,77,3,7,Research article,Pyramidal Neurons Derived from Human Pluripotent Stem Cells Integrate Efficiently into Mouse Brain Circuits In Vivo,410
503,77,3,8,Research article,Contact Repulsion Controls the Dispersion and Final Distribution of Cajal-Retzius Cells,80
504,77,3,9,Research article,Pathfinding of Corticothalamic Axons Relies on a Rendezvous with Thalamic Projections,96
505,77,3,10,Research article,TRAK/Milton Motor-Adaptor Proteins Steer Mitochondrial Trafficking to Axons and Dendrites,302
506,77,3,11,Research article,Apoptosis Regulates ipRGC Spacing Necessary for Rods and Cones to Drive Circadian Photoentrainment,43
507,77,3,12,Research article,Synaptic Ribbons Influence the Size and Frequency of Miniature-like Evoked Postsynaptic Currents,50
508,77,3,13,Research article,Spike-Driven Glutamate Electrodiffusion Triggers Synaptic Potentiation via a Homer-Dependent mGluR-NMDAR Link,44
509,77,3,14,Research article,LTP Requires a Unique Postsynaptic SNARE Fusion Machinery,160
510,77,3,15,Research article,Chromatic Coding from Cone-type Unselective Circuits in the Mouse Retina,65
511,77,3,16,Research article,Two Insulin-like Peptides Antagonistically Regulate Aversive Olfactory Learning in C. elegans,86
517,77,4,4,Review article,“Seq-ing” Insights into the Epigenetics of Neuronal Gene Regulation,86
518,77,4,5,Review article,Visceral Influences on Brain and Behavior,670
521,77,4,8,Research article,Interaxonal Interaction Defines Tiled Presynaptic Innervation in C. elegans,42
522,77,4,9,Research article,TRPV1 Channels Are Intrinsically Heat Sensitive and Negatively Regulated by Phosphoinositide Lipids,247
523,77,4,10,Research article,Spartin Regulates Synaptic Growth and Neuronal Survival by Inhibiting BMP-Mediated Microtubule Stabilization,82
524,77,4,11,Research article,FMRP Regulates Neurotransmitter Release and Synaptic Information Transmission by Modulating Action Potential Duration via BK Channels,243
525,77,4,12,Research article,Enhanced Intrinsic Excitability in Basket Cells Maintains Excitatory-Inhibitory Balance in Hippocampal Circuits,95
526,77,4,13,Research article,A Cholinergic Mechanism for Reward Timing within Primary Visual Cortex,144
527,77,4,14,Research article,NMDA Receptors Subserve Persistent Neuronal Firing during Working Memory in Dorsolateral Prefrontal Cortex,350
528,77,4,15,Research article,The Spectrotemporal Filter Mechanism of Auditory Selective Attention,318
529,77,4,16,Research article,Gamma and the Coordination of Spiking Activity in Early Visual Cortex,128
530,77,4,17,Research article,Alteration of Visual Perception prior to Microsaccades,112
531,77,4,18,Research article,Functional Differentiation of Memory Retrieval Network in Macaque Posterior Parietal Cortex,28
535,77,5,3,Review article,Hypothalamic Survival Circuits: Blueprints for Purposive Behaviors,210
536,77,5,4,Review article,The Unstable Repeats—Three Evolving Faces of Neurological Disease,171
540,77,5,8,Research article,Oligodendrocyte Dynamics in the Healthy Adult CNS: Evidence for Myelin Remodeling,590
541,77,5,9,Research article,Aberrant Schwann Cell Lipid Metabolism Linked to Mitochondrial Deficits Leads to Axon Degeneration and Neuropathy,141
542,77,5,10,Research article,Kv1.1 Channels Act as Mechanical Brake in the Senses of Touch and Pain,103
543,77,5,11,Research article,Local and Global Contrast Adaptation in Retinal Ganglion Cells,36
544,77,5,12,Research article,Environmental Novelty Activates β2-Adrenergic Signaling to Prevent the Impairment of Hippocampal LTP by Aβ Oligomers,137
545,77,5,13,Research article,Kappa Opioid Receptors Regulate Stress-Induced Cocaine Seeking and Synaptic Plasticity,100
546,77,5,14,Research article,Differential Control of Learning and Anxiety along the Dorsoventral Axis of the Dentate Gyrus,470
547,77,5,15,Research article,Independent Category and Spatial Encoding in Parietal Cortex,73
548,77,5,16,Research article,Mechanisms Underlying Selective Neuronal Tracking of Attended Speech at a “Cocktail Party”,572
555,77,6,3,Review article,The Theta-Gamma Neural Code,969
556,77,6,4,Review article,Neuronal Morphology Goes Digital: A Research Hub for Cellular and System Neuroscience,157
559,77,6,7,Research article,Etv1 Inactivation Reveals Proprioceptor Subclasses that Reflect the Level of NT3 Expression in Muscle Targets,71
560,77,6,8,Research article,NLF-1 Delivers a Sodium Leak Channel to Regulate Neuronal Excitability and Modulate Rhythmic Locomotion,50
561,77,6,9,Research article,Cornichon Proteins Determine the Subunit Composition of Synaptic AMPA Receptors,124
562,77,6,10,Research article,"Synaptic PI(3,4,5)P3 Is Required for Syntaxin1A Clustering and Neurotransmitter Release",85
563,77,6,11,Research article,Developmental Refinement of Vesicle Cycling at Schaffer Collateral Synapses,49
564,77,6,12,Research article,Odorant Response Properties of Individual Neurons in an Olfactory Glomerular Module,85
565,77,6,13,Research article,Making Waves: Initiation and Propagation of Corticothalamic Ca2+ Waves In Vivo,184
566,77,6,14,Research article,Inhibition of Mediodorsal Thalamus Disrupts Thalamofrontal Connectivity and Cognition,267
567,77,6,15,Research article,Hippocampal SWR Activity Predicts Correct Decisions during the Initial Learning of an Alternation Task,177
568,77,6,16,Research article,Dopaminergic Reward Signals Selectively Decrease fMRI Activity in Primate Visual Cortex,94
572,78,1,3,Review article,Modeling Autism by SHANK Gene Mutations in Mice,325
573,78,1,4,Review article,Synaptic Computation and Sensory Processing in Neocortical Layer 2/3,192
576,78,1,7,Research article,VCP Is Essential for Mitochondrial Quality Control by PINK1/Parkin and this Function Is Impaired by VCP Mutations,164
577,78,1,8,Research article,Imaging Patients with Psychosis and a Mouse Model Establishes a Spreading Pattern of Hippocampal Dysfunction and Implicates Glutamate as a Driver,332
578,78,1,9,Research article,The CAMKK2-AMPK Kinase Pathway Mediates the Synaptotoxic Effects of Aβ Oligomers through Tau Phosphorylation,247
579,78,1,10,Research article,Transglutaminase and Polyamination of Tubulin: Posttranslational Modification for Stabilizing Axonal Microtubules,168
580,78,1,11,Research article,Developmental Regulation and Activity-Dependent Maintenance of GABAergic Presynaptic Inhibition onto Rod Bipolar Cell Axonal Terminals,22
581,78,1,12,Research article,Peptidergic CGRPα Primary Sensory Neurons Encode Heat and Itch and Tonically Suppress Sensitivity to Cold,194
582,78,1,13,Research article,GW182 Controls Drosophila Circadian Behavior and PDF-Receptor Signaling,46
583,78,1,14,Research article,Dynamic Reconfiguration of Hippocampal Interneuron Circuits during Spatial Learning,89
584,78,1,15,Research article,Closing the Gate in the Limbic Striatum: Prefrontal Suppression of Hippocampal and Thalamic Inputs,43
585,78,1,16,Research article,Circuits for Grasping: Spinal dI3 Interneurons Mediate Cutaneous Control of Motor Behavior,102
591,78,2,3,Review article,Innate Immunity in the CNS: Redefining the Relationship between the CNS and Its Environment,220
592,78,2,4,Review article,Decision Making: From Neuroscience to Psychiatry,128
594,78,2,6,Research article,GWAS of Cerebrospinal Fluid Tau Levels Identifies Risk Variants for Alzheimer’s Disease,271
595,78,2,7,Research article,Pax6 Exerts Regional Control of Cortical Progenitor Proliferation via Direct Repression of Cdk6 and Hypophosphorylation of pRb,63
596,78,2,8,Research article,Molecular Profiling of Synaptic Vesicle Docking Sites Reveals Novel Proteins but Few Differences between Glutamatergic and GABAergic Synapses,112
597,78,2,9,Research article,Control of Synaptic Plasticity and Memory via Suppression of Poly(A)-Binding Protein,62
598,78,2,10,Research article,Excitatory Superficial Dorsal Horn Interneurons Are Functionally Heterogeneous and Required for the Full Behavioral Expression of Pain and Itch,112
599,78,2,11,Research article,Ambient Illumination Toggles a Neuronal Circuit Switch in the Retina and Visual Perception at Cone Threshold,123
600,78,2,12,Research article,The Limits of Deliberation in a Perceptual Decision Task,55
601,78,2,13,Research article,Associative Learning Enhances Population Coding by Inverting Interneuronal Correlation Patterns,120
602,78,2,14,Research article,Dynamic Coding for Cognitive Control in Prefrontal Cortex,508
603,78,2,15,Research article,A Motion Direction Preference Map in Monkey V4,48
604,78,2,16,Research article,Population Responses to Contour Integration: Early Encoding of Discrete Elements and Late Perceptual Grouping,62
611,78,3,4,Review article,Temporal Processing in the Olfactory System: Can We See a Smell?,70
613,78,3,6,Research article,CGG Repeat-Associated Translation Mediates Neurodegeneration in Fragile X Tremor Ataxia Syndrome,327
614,78,3,7,Research article,"Plum, an Immunoglobulin Superfamily Protein, Regulates Axon Pruning by Facilitating TGF-β Signaling",43
615,78,3,8,Research article,Three Mechanisms Assemble Central Nervous System Nodes of Ranvier,120
616,78,3,9,Research article,Competition between α-actinin and Ca2+-Calmodulin Controls Surface Retention of the L-type Ca2+ Channel CaV1.2,77
617,78,3,10,Research article,Autism-Associated Neuroligin-3 Mutations Commonly Disrupt Tonic Endocannabinoid Signaling,218
618,78,3,11,Research article,Excitatory/Inhibitory Synaptic Imbalance Leads to Hippocampal Hyperexcitability in Mouse Models of Tuberous Sclerosis,235
619,78,3,12,Research article,Robust Gamma Coherence between Macaque V1 and V2 by Dynamic Frequency Matching,204
620,78,3,13,Research article,Distinct Roles of Segregated Transmission of the Septo-Habenular Pathway in Anxiety and Fear,121
621,78,3,14,Research article,Auditory Closed-Loop Stimulation of the Sleep Slow Oscillation Enhances Memory,543
622,78,3,15,Research article,Motion-Dependent Representation of Space in Area MT+,58
623,78,3,16,Research article,Social Manipulation of Preference in the Human Brain,192
627,78,4,3,Review article,Mapping and Cracking Sensorimotor Circuits in Genetic Model Organisms,25
628,78,4,4,Review article,Aberrant Protein S-Nitrosylation in Neurodegenerative Diseases,257
631,78,4,7,Research article,Alzheimer’s Disease Risk Gene CD33 Inhibits Microglial Uptake of Amyloid Beta,635
632,78,4,8,Research article,Reversal of Behavioral Deficits and Synaptic Dysfunction in Mice Overexpressing Neuregulin 1,108
633,78,4,9,Research article,The Ventral Hippocampus Is the Embryonic Origin for Adult Neural Stem Cells in the Dentate Gyrus,137
634,78,4,10,Research article,"Linking Cell Fate, Trajectory Choice, and Target Selection: Genetic Analysis of Sema-2b in Olfactory Axon Targeting",42
635,78,4,11,Research article,Homeostatic Control of Synaptic Transmission by Distinct Glutamate Receptors,28
636,78,4,12,Research article,Climbing Fiber Input Shapes Reciprocity of Purkinje Cell Firing,99
637,78,4,13,Research article,A Gq-Ca2+ Axis Controls Circuit-Level Encoding of Circadian Time in the Suprachiasmatic Nucleus,146
638,78,4,14,Research article,Attention-Induced Variance and Noise Correlation Reduction in Macaque V1 Is Mediated by NMDA Receptors,127
639,78,4,15,Research article,Monkey Area MT Latencies to Speed Changes Depend on Attention and Correlate with Behavioral Reaction Times,37
643,78,5,3,Review article,Impact of Neuronal Properties on Network Coding: Roles of Spike Initiation Dynamics and Robust Synchrony Transfer,120
644,78,5,4,Research article,Permanent Genetic Access to Transiently Active Neurons via TRAP: Targeted Recombination in Active Populations,279
645,78,5,5,Research article,Rapid Single-Step Induction of Functional Neurons from Human Pluripotent Stem Cells,714
648,78,5,8,Research article,Interactions between a Receptor Tyrosine Phosphatase and a Cell Surface Ligand Regulate Axon Guidance and Glial-Neuronal Communication,30
649,78,5,9,Research article,Dscam Expression Levels Determine Presynaptic Arbor Sizes in Drosophila Sensory Neurons,66
650,78,5,10,Research article,Protocadherin 17 Regulates Presynaptic Assembly in Topographic Corticobasal Ganglia Circuits,53
651,78,5,11,Research article,Robo3-Driven Axon Midline Crossing Conditions Functional Maturation of a Large Commissural Synapse,28
652,78,5,12,Research article,Analysis of NPR-1 Reveals a Circuit Mechanism for Behavioral Quiescence in C. elegans,102
653,78,5,13,Research article,Imaging of Neural Ensemble for the Retrieval of a Learned Behavioral Program,70
654,78,5,14,Research article,"Temporal and Mosaic Tsc1 Deletion in the Developing Thalamus Disrupts Thalamocortical Circuitry, Neural Function, and Behavior",48
655,78,5,15,Research article,Invigoration of Reward Seeking by Cue and Proximity Encoding in the Nucleus Accumbens,102
656,78,5,16,Research article,A Mechanistic Understanding of the Role of Feedforward Inhibition in the Mammalian Sound Localization Circuitry,86
657,78,5,17,Research article,Directional Hearing by Linear Summation of Binaural Inputs at the Medial Superior Olive,85
662,78,6,3,Review article,Remodeling Neurodegeneration: Somatic Cell Reprogramming-Based Models of Adult Neurological Disorders,65
663,78,6,4,Research article,Recombinant Probes for Visualizing Endogenous Synaptic Proteins in Living Neurons,173
665,78,6,6,Research article,The Balance between Capture and Dissociation of Presynaptic Proteins Controls the Spatial Distribution of Synapses,95
666,78,6,7,Research article,"mSYD1A, a Mammalian Synapse-Defective-1 Protein, Regulates Synaptogenic Signaling and Vesicle Docking",39
667,78,6,8,Research article,Arc/Arg3.1 Is a Postsynaptic Mediator of Activity-Dependent Synapse Elimination in the Developing Cerebellum,76
668,78,6,9,Research article,Dendritic Peptide Release Mediates Interpopulation Crosstalk between Neurosecretory and Preautonomic Networks,120
669,78,6,10,Research article,Spillover-Mediated Feedforward Inhibition Functionally Segregates Interneuron Activity,58
670,78,6,11,Research article,Endogenous Positive Allosteric Modulation of GABAA Receptors by Diazepam binding inhibitor,77
671,78,6,12,Research article,GABAergic Lateral Interactions Tune the Early Stages of Visual Processing in Drosophila,62
672,78,6,13,Research article,Hippocampal “Time Cells”: Time versus Path Integration,363
673,78,6,14,Research article,The Fine Structure of Shape Tuning in Area V4,68
674,78,6,15,Research article,The Relationship of Anatomical and Functional Connectivity to Resting-State Connectivity in Primate Somatosensory Cortex,144
675,78,6,16,Research article,Detecting Changes in Scenes: The Hippocampus Is Critical for Strength-Based Perception,100
682,79,1,5,Review article,The Brain on Stress: Vulnerability and Plasticity of the Prefrontal Cortex over the Life Course,686
684,79,1,7,Research article,SAD Kinases Sculpt Axonal Arbors of Sensory Neurons through Long- and Short-Term Responses to Neurotrophin Signals,47
685,79,1,8,Research article,Pigment-Dispersing Factor Modulates Pheromone Production in Clock Cells that Influence Mating in Drosophila,64
686,79,1,9,Research article,A Prestin Motor in Chicken Auditory Hair Cells: Active Force Generation in a Nonmammalian Species,53
687,79,1,10,Research article,Dynamic Control of Synaptic Vesicle Replenishment and Short-Term Plasticity by Ca2+-Calmodulin-Munc13-1 Signaling,105
688,79,1,11,Research article,Olfactory Stimulation Selectively Modulates the OFF Pathway in the Retina of Zebrafish,31
689,79,1,12,Research article,Modular Use of Peripheral Input Channels Tunes Motion-Detecting Circuitry,99
690,79,1,13,Research article,Contributions of the 12 Neuron Classes in the Fly Lamina to Motion Vision,110
691,79,1,14,Research article,Sparse and Background-Invariant Coding of Vocalizations in Auditory Scenes,98
692,79,1,15,Research article,The Thalamostriatal Pathway and Cholinergic Control of Goal-Directed Action: Interlacing New with Existing Learning in the Striatum,176
693,79,1,16,Research article,Sensory Population Decoding for Visually Guided Movements,38
694,79,1,17,Research article,Abnormal Visual Motion Processing Is Not a Cause of Dyslexia,159
695,79,1,18,Research article,The Neural Representation of Unexpected Uncertainty during Value-Based Decision Making,209
704,79,2,3,Review article,The Expected Value of Control: An Integrative Theory of Anterior Cingulate Cortex Function,1347
705,79,2,4,Research article,Optogenetic Inhibition of Synaptic Release with Chromophore-Assisted Light Inactivation (CALI),129
706,79,2,5,Research article,The Phosphatase PP4c Controls Spindle Orientation to Maintain Proliferative Symmetric Divisions in the Developing Neocortex,67
707,79,2,6,Research article,Sensory Neuron Fates Are Distinguished by a Transcriptional Switch that Regulates Dendrite Branch Stabilization,78
708,79,2,7,Research article,"The Transcription Factor Mef2 Links the Drosophila Core Clock to Fas2, Neuronal Morphology, and Circadian Behavior",73
709,79,2,8,Research article,The Small GTPase Arf1 Modulates Arp2/3-Mediated Actin Polymerization via PICK1 to Regulate Synaptic Plasticity,75
710,79,2,9,Research article,Quantitative Nanoscopy of Inhibitory Synapses: Counting Gephyrin Molecules and Receptor Binding Sites,174
711,79,2,10,Research article,Intersecting Circuits Generate Precisely Patterned Retinal Waves,42
712,79,2,11,Research article,Obligatory Role for the Immediate Early Gene NARP in Critical Period Plasticity,100
713,79,2,12,Research article,Differential Innervation of Direct- and Indirect-Pathway Striatal Projection Neurons,345
714,79,2,13,Research article,A Dual Operator View of Habitual Behavior Reflecting Cortical and Striatal Dynamics,237
715,79,2,14,Research article,A Biophysically Detailed Model of Neocortical Local Field Potentials Predicts the Critical Role of Active Membrane Currents,205
716,79,2,15,Research article,Restricting Temptations: Neural Mechanisms of Precommitment,102
722,79,3,4,Review article,Converging Mechanisms in ALS and FTD: Disrupted RNA and Protein Homeostasis,1070
724,79,3,6,Research article,Activity-Induced Convergence of APP and BACE-1 in Acidic Microdomains via an Endocytosis-Dependent Pathway,195
725,79,3,7,Research article,Cajal-Retzius Cells Instruct Neuronal Migration by Coincidence Signaling between Secreted and Contact-Dependent Guidance Cues,114
726,79,3,8,Research article,Sonic Hedgehog Regulates Its Own Receptor on Postcrossing Commissural Axons in a Glypican1-Dependent Manner,71
727,79,3,9,Research article,A Conformational Intermediate in Glutamate Receptor Activation,46
728,79,3,10,Research article,TMC1 and TMC2 Are Components of the Mechanotransduction Channel in Hair Cells of the Mammalian Inner Ear,265
729,79,3,11,Research article,Potassium Channels Control the Interaction between Active Dendritic Integration Compartments in Layer 5 Cortical Pyramidal Neurons,98
730,79,3,12,Research article,Nicotine Decreases Ethanol-Induced Dopamine Signaling and Increases Self-Administration via Stress Hormones,71
731,79,3,13,Research article,Spatial Segregation of Adaptation and Predictive Sensitization in Retinal Ganglion Cells,45
732,79,3,14,Research article,Formation and Reverberation of Sequential Neural Activity Patterns Evoked by Sensory Stimulation Are Enhanced during Cortical Desynchronization,76
733,79,3,15,Research article,Motor Cortex Feedback Influences Sensory Processing by Modulating Network State,201
734,79,3,16,Research article,Cellular and Synaptic Architecture of Multisensory Integration in the Mouse Neocortex,125
735,79,3,17,Research article,Coding of Information in the Phase of Local Field Potentials within Human Medial Temporal Lobe,31
741,79,4,3,Review article,The Sensory Neurons of Touch,788
742,79,4,4,Review article,The Basal Ganglia’s Contributions to Perceptual Decision Making,126
745,79,4,7,Research article,Axin Directs the Amplification and Differentiation of Intermediate Progenitors in the Developing Cerebral Cortex,53
746,79,4,8,Research article,An LRRTM4-HSPG Complex Mediates Excitatory Synapse Development on Dentate Gyrus Granule Cells,113
747,79,4,9,Research article,Unbiased Discovery of Glypican as a Receptor for LRRTM4 in Regulating Excitatory Synapse Development,110
748,79,4,10,Research article,Translational Control of Entrainment and Synchrony of the Suprachiasmatic Circadian Clock by mTOR/4E-BP1 Signaling,114
749,79,4,11,Research article,An Odorant-Binding Protein Required for Suppression of Sweet Taste by Bitter Chemicals,135
750,79,4,12,Research article,Interaural Level Difference-Dependent Gain Control and Synaptic Scaling Underlying Binaural Computation,56
751,79,4,13,Research article,A Pair of Interneurons Influences the Choice between Feeding and Locomotion in Drosophila,53
752,79,4,14,Research article,A Network for Scene Processing in the Macaque Temporal Lobe,99
753,79,4,15,Research article,Natural Scenes Viewing Alters the Dynamics of Functional Connectivity in the Human Brain,134
754,79,4,16,Research article,Evidence for Hubs in Human Functional Brain Networks,505
755,79,4,17,Research article,Neural Primacy of the Salience Processing System in Schizophrenia,246
759,79,5,3,Review article,Theory of Mind: A Neural Prediction Problem,291
760,79,5,4,Review article,Integration of GABAergic Interneurons into Cortical Cell Assemblies: Lessons from Embryos and Adults,158
762,79,5,6,Research article,Microglial Beclin 1 Regulates Retromer Trafficking and Phagocytosis and Is Impaired in Alzheimer’s Disease,249
763,79,5,7,Research article,Metabotropic Glutamate Receptor 5 Is a Coreceptor for Alzheimer Aβ Oligomer Bound to Cellular Prion Protein,439
764,79,5,8,Research article,The EBAX-type Cullin-RING E3 Ligase and Hsp90 Guard the Protein Quality of the SAX-3/Robo Receptor in Developing Neurons,17
765,79,5,9,Research article,GABAergic Projection Neurons Route Selective Olfactory Inputs to Specific Higher-Order Neurons,98
766,79,5,10,Research article,Odor Discrimination in Drosophila: From Neural Population Codes to Behavior,109
767,79,5,11,Research article,Different Kenyon Cell Populations Drive Learned Approach and Avoidance in Drosophila,96
768,79,5,12,Research article,Molecular and Functional Asymmetry at a Vertebrate Electrical Synapse,64
769,79,5,13,Research article,Laminar and Columnar Development of Barrel Cortex Relies on Thalamocortical Neurotransmission,103
770,79,5,14,Research article,A Modeling Framework for Deriving the Structural and Functional Architecture of a Short-Term Memory Microcircuit,50
771,79,5,15,Research article,Distinct Basal Ganglia Circuits Controlling Behaviors Guided by Flexible and Stable Values,129
772,79,5,16,Research article,Distinct Representations of Cognitive and Motivational Signals in Midbrain Dopamine Neurons,104
773,79,5,17,Research article,Natural Scene Statistics Account for the Representation of Scene Categories in Human Visual Cortex,137
777,79,6,3,Review article,Tony Pawson: In Memoriam,0
778,79,6,4,Research article,The Function of α-Synuclein,525
781,79,6,7,Research article,"TET1 Controls CNS 5-Methylcytosine Hydroxylation, Active DNA Demethylation, Gene Transcription, and Memory Formation",325
782,79,6,8,Research article,Imaging of Tau Pathology in a Tauopathy Mouse Model and in Alzheimer Patients Compared to Normal Controls,607
783,79,6,9,Research article,Tet1 Is Critical for Neuronal Activity-Regulated Gene Expression and Memory Extinction,344
784,79,6,10,Research article,Ephrin-B1 Controls the Columnar Distribution of Cortical Pyramidal Neurons by Restricting Their Tangential Migration,52
